x,y
2.0,7.2
2.086,7.202292683556984
2.172,7.208783054274078
2.258,7.218889592220499
2.344,7.232030777465461
2.4299999999999997,7.247625090078178
2.516,7.265091010127868
2.602,7.283847017683744
2.6879999999999997,7.303311592815022
2.774,7.322903215590917
2.86,7.342040366080644
2.9459999999999997,7.360141524353418
3.032,7.376625170478454
3.118,7.390909784524969
3.2039999999999997,7.402413846562175
3.29,7.41055583665929
3.376,7.414754234885527
3.4619999999999997,7.414427521310103
3.548,7.408994176002232
3.634,7.3978726790311296
3.7199999999999998,7.380481510466011
3.806,7.356239150376091
3.892,7.3245640788305835
3.9779999999999998,7.284874775898707
4.064,7.236589721649675
4.15,7.1791273961527
4.236,7.111906279477003
4.321999999999999,7.034575563289996
4.4079999999999995,6.948299646185608
4.494,6.854854261065518
4.58,6.75601683694934
4.666,6.653564802856685
4.752,6.5492755878071645
4.837999999999999,6.444926620820391
4.9239999999999995,6.342295330915972
5.01,6.2431591471135235
5.096,6.1492954984326555
5.182,6.062481813892979
5.268,5.9844916604637195
5.353999999999999,5.916369149089227
5.4399999999999995,5.857572687920696
5.526,5.807352462848029
5.612,5.764958659761134
5.6979999999999995,5.729641464549911
5.784,5.7006510631042655
5.869999999999999,5.677237641314101
5.9559999999999995,5.658651385069321
6.042,5.64414248025983
6.128,5.632961112775532
6.2139999999999995,5.62435746850633
6.3,5.617581733342128
6.385999999999999,5.611884093172829
6.4719999999999995,5.606514733888338
6.558,5.60072384137856
6.643999999999999,5.593761601533398
6.7299999999999995,5.584878200242754
6.816,5.573323823396535
6.901999999999999,5.558348656884642
6.9879999999999995,5.53920288659698
7.074,5.515136698423452
7.159999999999999,5.485400278253966
7.2459999999999996,5.4492438119784214
7.332,5.405917485486721
7.417999999999999,5.354671484668773
7.504,5.294755995414478
7.59,5.225421203613742
7.675999999999999,5.145917295156467
7.762,5.055494455932558
7.848,4.953449198565803
7.933999999999999,4.840502432467035
8.02,4.719032988666327
8.106,4.591513067601721
8.192,4.460414869711252
8.277999999999999,4.328210595432961
8.364,4.197372445204881
8.45,4.070372619465059
8.536,3.949683318651525
8.622,3.837776743202321
8.707999999999998,3.7371250935554867
8.794,3.6502005701490554
8.879999999999999,3.5794753734210714
8.966,3.5274217038095683
9.052,3.496511761752587
9.137999999999998,3.4892177476881647
9.224,3.5079898261816242
9.309999999999999,3.5532446511671076
9.395999999999999,3.6217509704741664
9.482,3.7098976299161244
9.568,3.814073475306306
9.654,3.930667352458036
9.739999999999998,4.056068107184636
9.826,4.186664585299437
9.911999999999999,4.318845632615753
9.998,4.449000094946919
10.084,4.573516818106254
10.17,4.6887846479070845
10.256,4.791192430162733
10.341999999999999,4.877129010686523
10.427999999999999,4.942983235291782
10.514,4.9851439497918335
10.6,5.0
